run,solver,seed,alpha_star,AP_count,MP_count,pairs_selected,best_acc_m,time_s,tts_99_ms,p_s
89,QA,89,0.265625,3,5,7,2.7203465494453036,6.434615850448608,0.02,1.0
90,SA,90,0.1875,4,5,6,2.6335810037648324,2.9178335666656494,4.783935546875,1.0
90,QA,90,0.25,4,5,7,2.7502520690633774,6.471388816833496,0.02,1.0
91,SA,91,0.125,2,4,4,2.6127851923606755,2.814462900161743,2.9444217681884766,1.0
91,QA,91,0.125,2,4,4,2.595538616449136,6.481115341186523,0.02,1.0
92,SA,92,0.125,3,4,4,2.5706987681922593,2.858743190765381,4.186561107635498,1.0
92,QA,92,0.25,5,5,7,2.7252680743731936,6.410722017288208,0.02,1.0
93,SA,93,0.21875,4,5,6,2.6549049575700154,4.081171274185181,5.432002544403076,1.0
93,QA,93,0.1875,4,5,6,2.6335810037648324,6.320307731628418,0.02,1.0
94,SA,94,0.125,2,4,4,2.6127851923606755,2.9703238010406494,4.79886531829834,1.0
94,QA,94,0.2890625,4,5,8,2.6767625206464367,6.36416220664978,0.02,1.0
95,SA,95,0.25,4,5,7,2.7807293915144227,2.565552234649658,3.305978775024414,1.0
95,QA,95,0.25,3,5,7,2.7203465494453036,6.326820373535156,0.02,1.0
96,SA,96,0.25,4,5,7,2.7807293915144227,2.1499171257019043,3.281126022338867,1.0
96,QA,96,0.203125,4,5,6,2.727653169987371,6.544482231140137,0.02,1.0
97,SA,97,0.125,2,4,4,2.595538616449136,2.5030577182769775,2.839837074279785,1.0
97,QA,97,0.125,2,4,4,2.6127851923606755,6.327624797821045,0.02,1.0
98,SA,98,0.125,2,4,4,2.6127851923606755,3.7869555950164795,3.6290693283081055,1.0
98,QA,98,0.125,3,4,5,2.5017280918588525,6.458036184310913,0.02,1.0
99,SA,99,0.25,5,5,7,2.7734541198959484,2.669294834136963,3.295776844024658,1.0
99,QA,99,0.265625,4,5,8,2.6767625206464367,6.352355718612671,0.02,1.0
0,Greedy,0,,5,5,21,2.89678379984278,0.0,,
1,Greedy,1,,5,5,21,2.89678379984278,0.0,,
2,Greedy,2,,5,5,21,2.89678379984278,0.0,,
3,Greedy,3,,5,5,21,2.89678379984278,0.0,,
4,Greedy,4,,5,5,21,2.89678379984278,0.0,,
5,Greedy,5,,5,5,21,2.89678379984278,0.0,,
6,Greedy,6,,5,5,21,2.89678379984278,0.0,,
7,Greedy,7,,5,5,21,2.89678379984278,0.0,,
8,Greedy,8,,5,5,21,2.89678379984278,0.0,,
9,Greedy,9,,5,5,21,2.89678379984278,0.0,,
10,Greedy,10,,5,5,21,2.89678379984278,0.0,,
11,Greedy,11,,5,5,21,2.89678379984278,0.0,,
12,Greedy,12,,5,5,21,2.89678379984278,0.0,,
13,Greedy,13,,5,5,21,2.89678379984278,0.0,,
14,Greedy,14,,5,5,21,2.89678379984278,0.0,,
15,Greedy,15,,5,5,21,2.89678379984278,0.0,,
16,Greedy,16,,5,5,21,2.89678379984278,0.0,,
17,Greedy,17,,5,5,21,2.89678379984278,0.0,,
18,Greedy,18,,5,5,21,2.89678379984278,0.0,,
